model,horizon_hours,seed,development_fit_seconds,final_fit_seconds,prediction_seconds,parameter_count,artifact_bytes,threshold_policy,threshold,windows,positive_windows,prevalence,average_precision,ap_lift_over_prevalence,roc_auc,brier_score,balanced_accuracy,precision,recall,f1,tn,fp,fn,tp,false_alert_episodes,evaluated_days,false_alert_episodes_per_day,held_out_event_detected,first_alert_lead_hours
attention_tcn,3,17,33.68111767699975,10.766720295999676,0.017268051999963063,30274.0,132555,development_selected,0.05,2032,6,0.002952755905511811,0.0017402709575039246,0.5893717642746624,0.018180322474498207,0.0035830912446391337,0.47433366238894376,0.0,0.0,0.0,1922,104,6,0,74,42.333333333333336,1.7480314960629921,False,
attention_tcn,3,42,34.40922224699989,10.795851968000079,0.0184507140002097,30274.0,132555,reference_0.5,0.5,2032,6,0.002952755905511811,0.0017286028046481652,0.5854201498408453,0.0032082922013820236,0.0037353969379143384,0.5,0.0,0.0,0.0,2026,0,6,0,0,42.333333333333336,0.0,False,
attention_tcn,3,42,34.40922224699989,10.795851968000079,0.0184507140002097,30274.0,132555,development_selected,0.05,2032,6,0.002952755905511811,0.0017286028046481652,0.5854201498408453,0.0032082922013820236,0.0037353969379143384,0.45779861796643634,0.0,0.0,0.0,1855,171,6,0,79,42.333333333333336,1.8661417322834644,False,
attention_tcn,3,89,24.99106458099959,5.263650259999849,0.017402683999989677,30274.0,132555,reference_0.5,0.5,2032,6,0.002952755905511811,0.0017673954301702008,0.5985579190176413,0.0257486015136558,0.004369236720000799,0.5,0.0,0.0,0.0,2026,0,6,0,0,42.333333333333336,0.0,False,
attention_tcn,3,89,24.99106458099959,5.263650259999849,0.017402683999989677,30274.0,132555,development_selected,0.05,2032,6,0.002952755905511811,0.0017673954301702008,0.5985579190176413,0.0257486015136558,0.004369236720000799,0.41707798617966435,0.0,0.0,0.0,1690,336,6,0,80,42.333333333333336,1.889763779527559,False,
attention_tcn,6,17,18.761414999999488,2.225757729000179,0.018340066999826377,30274.0,132555,reference_0.5,0.5,2032,12,0.005905511811023622,0.0032174428884628337,0.5448203291130399,0.00478547854785479,0.007837244311150694,0.5,0.0,0.0,0.0,2020,0,12,0,0,42.333333333333336,0.0,False,
attention_tcn,6,17,18.761414999999488,2.225757729000179,0.018340066999826377,30274.0,132555,development_selected,0.05,2032,12,0.005905511811023622,0.0032174428884628337,0.5448203291130399,0.00478547854785479,0.007837244311150694,0.3608910891089109,0.0,0.0,0.0,1458,562,12,0,192,42.333333333333336,4.535433070866142,False,
attention_tcn,6,42,19.225622055000258,2.4928724479996163,0.018561291999958485,30274.0,132555,reference_0.5,0.5,2032,12,0.005905511811023622,0.003221970964220148,0.5455870832746117,0.007838283828382846,0.01652624076561793,0.49975247524752475,0.0,0.0,0.0,2019,1,12,0,1,42.333333333333336,0.023622047244094488,False,
attention_tcn,6,42,19.225622055000258,2.4928724479996163,0.018561291999958485,30274.0,132555,development_selected,0.05,2032,12,0.005905511811023622,0.003221970964220148,0.5455870832746117,0.007838283828382846,0.01652624076561793,0.01608910891089109,0.0,0.0,0.0,65,1955,12,0,65,42.333333333333336,1.5354330708661417,False,
attention_tcn,6,89,18.920395750000353,1.350856265999937,0.01741347899996981,30274.0,132555,reference_0.5,0.5,2032,12,0.005905511811023622,0.0032386475489255178,0.5484109849513877,0.012211221122112221,0.02655005378826764,0.5,0.0,0.0,0.0,2020,0,12,0,0,42.333333333333336,0.0,False,
attention_tcn,6,89,18.920395750000353,1.350856265999937,0.01741347899996981,30274.0,132555,development_selected,0.05,2032,12,0.005905511811023622,0.0032386475489255178,0.5484109849513877,0.012211221122112221,0.02655005378826764,0.29760726072607263,0.003494757863205192,0.5833333333333334,0.006947890818858561,24,1996,5,7,64,42.333333333333336,1.5118110236220472,True,5.531944444444444
attention_tcn,12,17,18.20866524799976,1.4119586179999715,0.018683175999740342,30274.0,132555,reference_0.5,0.5,2032,24,0.011811023622047244,0.006257025989432438,0.5297615337719465,0.016226759628154036,0.057124846111248836,0.4995019920318725,0.0,0.0,0.0,2006,2,24,0,2,42.333333333333336,0.047244094488188976,False,
attention_tcn,12,17,18.20866524799976,1.4119586179999715,0.018683175999740342,30274.0,132555,development_selected,0.06,2032,24,0.011811023622047244,0.006257025989432438,0.5297615337719465,0.016226759628154036,0.057124846111248836,0.5,0.011811023622047244,1.0,0.023346303501945526,0,2008,0,24,63,42.333333333333336,1.4881889763779528,True,11.531944444444443
attention_tcn,12,42,18.0914393500002,1.3165651149997757,0.02052794500013988,30274.0,132555,reference_0.5,0.5,2032,24,0.011811023622047244,0.006342376392020705,0.5369878678577531,0.033200531208499307,0.015736482847499705,0.4960159362549801,0.0,0.0,0.0,1992,16,24,0,2,42.333333333333336,0.047244094488188976,False,
attention_tcn,12,42,18.0914393500002,1.3165651149997757,0.02052794500013988,30274.0,132555,development_selected,0.06,2032,24,0.011811023622047244,0.006342376392020705,0.5369878678577531,0.033200531208499307,0.015736482847499705,0.49576693227091634,0.0,0.0,0.0,1991,17,24,0,2,42.333333333333336,0.047244094488188976,False,
attention_tcn,12,89,26.275319717000457,6.316365917999974,0.018086096000388352,30274.0,132555,reference_0.5,0.5,2032,24,0.011811023622047244,0.0063179887506963316,0.534923047558956,0.02521165338645416,0.11804647042985014,0.45617529880478086,0.0,0.0,0.0,1832,176,24,0,101,42.333333333333336,2.385826771653543,False,
attention_tcn,12,89,26.275319717000457,6.316365917999974,0.018086096000388352,30274.0,132555,development_selected,0.06,2032,24,0.011811023622047244,0.0063179887506963316,0.534923047558956,0.02521165338645416,0.11804647042985014,0.05635790172642762,0.0010251153254741158,0.08333333333333333,0.0020253164556962027,59,1949,22,2,64,42.333333333333336,1.5118110236220472,True,11.531944444444443
